detector,family,fpr_target,ref,condition,thr,paired,n,clusters,fpr_ref,fpr_cond,delta,lo,hi,m,significant
promptguard2_86m,L_jezik_pismo,0.01,sr_latn_orig,sr_cyrl_orig,0.006012,1,150,150,0.0067,0.0067,0.0,0.0,0.0,1,-
promptguard2_86m,M_mesanje,0.01,en_orig,en_mix_3ch,0.006012,1,67,67,0.0,0.0,0.0,0.0,0.0,6,-
promptguard2_86m,M_mesanje,0.01,en_orig,en_mix_100%,0.006012,1,67,67,0.0,0.3134,0.3134,0.1642,0.4627,6,DA
promptguard2_86m,M_mesanje,0.01,sr_latn_orig,sr_latn_mix_3ch,0.006012,1,150,150,0.0067,0.0067,0.0,0.0,0.0,6,-
promptguard2_86m,M_mesanje,0.01,sr_latn_orig,sr_latn_mix_100%,0.006012,1,150,150,0.0067,0.0467,0.04,0.0067,0.0867,6,DA
promptguard2_86m,M_mesanje,0.01,sr_cyrl_orig,sr_cyrl_mix_3ch,0.006012,1,150,150,0.0067,0.0067,0.0,0.0,0.0,6,-
promptguard2_86m,M_mesanje,0.01,sr_cyrl_orig,sr_cyrl_mix_100%,0.006012,1,150,150,0.0067,0.06,0.0533,0.0133,0.1067,6,DA
promptguard2_86m,kriva_deskriptivno,0.01,,en_mix_100%,0.006012,0,67,67,,0.3134,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,en_mix_13ch,0.006012,0,67,67,,0.0597,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,en_mix_1ch,0.006012,0,67,67,,0.0,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,en_mix_21ch,0.006012,0,67,67,,0.0149,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,en_mix_25%,0.006012,0,67,67,,0.0746,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,en_mix_2ch,0.006012,0,67,67,,0.0149,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,en_mix_3ch,0.006012,0,67,67,,0.0,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,en_mix_50%,0.006012,0,67,67,,0.2388,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,en_mix_5ch,0.006012,0,67,67,,0.0149,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,en_mix_8ch,0.006012,0,67,67,,0.0,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_cyrl_mix_100%,0.006012,0,150,150,,0.06,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_cyrl_mix_13ch,0.006012,0,150,150,,0.0067,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_cyrl_mix_1ch,0.006012,0,150,150,,0.0067,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_cyrl_mix_21ch,0.006012,0,150,150,,0.02,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_cyrl_mix_25%,0.006012,0,150,150,,0.02,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_cyrl_mix_2ch,0.006012,0,150,150,,0.0067,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_cyrl_mix_3ch,0.006012,0,150,150,,0.0067,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_cyrl_mix_50%,0.006012,0,150,150,,0.0467,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_cyrl_mix_5ch,0.006012,0,150,150,,0.0067,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_cyrl_mix_8ch,0.006012,0,150,150,,0.0067,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_latn_mix_100%,0.006012,0,150,150,,0.0467,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_latn_mix_13ch,0.006012,0,150,150,,0.0067,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_latn_mix_1ch,0.006012,0,150,150,,0.0067,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_latn_mix_21ch,0.006012,0,150,150,,0.02,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_latn_mix_25%,0.006012,0,150,150,,0.04,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_latn_mix_2ch,0.006012,0,150,150,,0.0067,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_latn_mix_3ch,0.006012,0,150,150,,0.0067,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_latn_mix_50%,0.006012,0,150,150,,0.1133,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_latn_mix_5ch,0.006012,0,150,150,,0.0067,,,,,
promptguard2_86m,kriva_deskriptivno,0.01,,sr_latn_mix_8ch,0.006012,0,150,150,,0.0067,,,,,
promptguard2_86m,L_jezik_pismo,0.05,sr_latn_orig,sr_cyrl_orig,0.001708,1,150,150,0.02,0.02,0.0,-0.0267,0.0267,1,-
promptguard2_86m,M_mesanje,0.05,en_orig,en_mix_3ch,0.001708,1,67,67,0.0448,0.0448,0.0,0.0,0.0,6,-
promptguard2_86m,M_mesanje,0.05,en_orig,en_mix_100%,0.001708,1,67,67,0.0448,0.597,0.5522,0.3881,0.7164,6,DA
promptguard2_86m,M_mesanje,0.05,sr_latn_orig,sr_latn_mix_3ch,0.001708,1,150,150,0.02,0.02,0.0,-0.0267,0.0267,6,-
promptguard2_86m,M_mesanje,0.05,sr_latn_orig,sr_latn_mix_100%,0.001708,1,150,150,0.02,0.4333,0.4133,0.3067,0.52,6,DA
promptguard2_86m,M_mesanje,0.05,sr_cyrl_orig,sr_cyrl_mix_3ch,0.001708,1,150,150,0.02,0.0267,0.0067,0.0,0.0267,6,-
promptguard2_86m,M_mesanje,0.05,sr_cyrl_orig,sr_cyrl_mix_100%,0.001708,1,150,150,0.02,0.5067,0.4867,0.38,0.6,6,DA
promptguard2_86m,kriva_deskriptivno,0.05,,en_mix_100%,0.001708,0,67,67,,0.597,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,en_mix_13ch,0.001708,0,67,67,,0.2537,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,en_mix_1ch,0.001708,0,67,67,,0.0597,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,en_mix_21ch,0.001708,0,67,67,,0.3582,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,en_mix_25%,0.001708,0,67,67,,0.2985,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,en_mix_2ch,0.001708,0,67,67,,0.0597,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,en_mix_3ch,0.001708,0,67,67,,0.0448,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,en_mix_50%,0.001708,0,67,67,,0.5224,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,en_mix_5ch,0.001708,0,67,67,,0.0896,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,en_mix_8ch,0.001708,0,67,67,,0.1045,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_cyrl_mix_100%,0.001708,0,150,150,,0.5067,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_cyrl_mix_13ch,0.001708,0,150,150,,0.0467,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_cyrl_mix_1ch,0.001708,0,150,150,,0.02,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_cyrl_mix_21ch,0.001708,0,150,150,,0.0933,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_cyrl_mix_25%,0.001708,0,150,150,,0.28,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_cyrl_mix_2ch,0.001708,0,150,150,,0.02,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_cyrl_mix_3ch,0.001708,0,150,150,,0.0267,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_cyrl_mix_50%,0.001708,0,150,150,,0.4733,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_cyrl_mix_5ch,0.001708,0,150,150,,0.02,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_cyrl_mix_8ch,0.001708,0,150,150,,0.02,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_latn_mix_100%,0.001708,0,150,150,,0.4333,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_latn_mix_13ch,0.001708,0,150,150,,0.0533,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_latn_mix_1ch,0.001708,0,150,150,,0.0133,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_latn_mix_21ch,0.001708,0,150,150,,0.1067,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_latn_mix_25%,0.001708,0,150,150,,0.3067,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_latn_mix_2ch,0.001708,0,150,150,,0.02,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_latn_mix_3ch,0.001708,0,150,150,,0.02,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_latn_mix_50%,0.001708,0,150,150,,0.5333,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_latn_mix_5ch,0.001708,0,150,150,,0.0133,,,,,
promptguard2_86m,kriva_deskriptivno,0.05,,sr_latn_mix_8ch,0.001708,0,150,150,,0.04,,,,,
